Papel,Cotação,P/L,Div.Yield,P/VP,ROIC,ROE,Patrim. Líq,PSR,Mrg Ebit,Mrg. Líq.,Liq. Corr.,Dív.Brut/ Patrim.,Cresc. Rec.5a,EV/EBIT,EV/EBITDA,P/EBIT,vpa,lpa,valor_justo_graham,potencial_graham,rank_dy,rank_roe,rank_roic,rank_potencial_graham,rank_pvp,rank_pl,rank_margem_liq,rank_cresc_receita_5a,rank_div_bruta_patrim,rank_liq_corrente,rank_margem_ebit,rank_ev_ebit,rank_ev_ebitda,rank_p_ebit,RANK_RESULTADO,segmento
RECV3,"22,19","6,52","4,77",151,"19,43","23,12","4314600000,0","21,99","36,82","33,72","0,9","0,14","52,51","5,81","4,12","5,97","14,71","3,4","33,55","51,19","79,0","39,0","33,0","38,0","39,0","44,0","5,0","1,0","17,0","67,0","15,0","46,0","37,0","69,0","465,97",Exploração. Refino e Distribuição
EQPA5,"7,1","8,71","12,69",411,"23,95","47,23","3812660000,0","16,97","28,19","19,48","1,55","1,34","16,73","7,46","6,43","6,02","1,73","0,82","5,65","-20,42","12,0","4,5","21,5","79,0","81,0","66,0","24,5","40,5","61,5","38,5","23,5","74,0","74,0","70,0","606,52",Energia Elétrica
LEVE3,"40,13","7,29","10,86",361,"36,32","49,55","1425640000,0","11,55","18,84","15,82","1,93","0,35","17,5","6,35","5,68","6,13","11,11","5,51","37,11","-7,53","22,0","2,0","7,0","72,0","77,0","49,0","36,0","37,0","25,0","31,0","57,0","56,0","65,0","71,0","542,13",Automóveis e Motocicletas
EGIE3,"41,15","10,37","8,62",403,"15,22","38,82","8341660000,0","29,53","46,63","28,49","1,28","2,16","5,61","8,84","7,51","6,33","10,22","3,97","30,21","-26,59","40,0","13,0","51,0","81,0","79,0","78,0","8,0","80,0","81,0","50,0","5,0","76,0","77,0","72,0","725,33",Energia Elétrica
CIEL3,"3,7","4,89","7,83",86,"5,23","17,59","11697500000,0","15,27","23,66","31,27","1,19","0,63","-10,12","10,6","8,07","6,46","4,31","0,7","8,24","122,7","43,0","63,0","75,0","19,0","17,0","18,0","6,0","85,0","46,0","54,0","40,0","81,5","79,0","73,0","632,96",Serviços Financeiros Diversos
FESA3,"61,9","8,01","4,81",170,"25,57","21,19","3220380000,0","19,34","26,93","24,15","4,2","0,1","25,21","6,24","4,97","7,18","36,46","7,73","79,63","28,64","77,0","48,5","15,5","50,0","48,0","60,0","15,5","14,5","15,5","1,5","26,5","52,0","54,0","74,0","485,68",Siderurgia
TGMA3,"24,16","8,65","6,54",199,"25,6","23,01","800942000,0","10,44","14,35","12,1","2,62","0,21","2,42","6,97","6,3","7,27","12,13","2,79","27,59","14,2","57,0","40,0","14,0","58,0","56,5","64,0","54,0","81,0","19,5","15,0","65,0","66,0","72,0","75,0","669,27",Transporte Rodoviário
POMO4,"5,48","7,46","6,82",160,"12,53","21,41","3250220000,0","8,21","10,71","10,89","2,13","0,74","7,51","9,24","7,71","7,66","3,43","0,74","7,56","37,96","53,0","46,5","61,5","42,0","43,0","52,0","60,5","73,5","51,0","23,0","68,5","77,0","78,0","76,0","737,16",Material Rodoviário
BBSE3,"31,69","8,82","10,97",709,"0,0","80,32","8943940000,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,7","4,47","3,59","19,0","-40,04","21,0","1,0","81,0","84,0","86,0","67,0","81,0","82,0","7,0","81,0","81,0","6,0","6,0","77,5","691,7",Seguradoras
ENMT3,"62,0","13,93","5,01",417,"15,83","29,93","3256180000,0","19,43","25,25","13,95","1,14","1,68","14,25","10,23","8,91","7,7","14,87","4,45","38,59","-37,76","75,0","25,5","44,5","83,0","82,0","85,0","44,5","46,5","73,5","58,5","34,5","80,0","82,0","77,5","822,2",Energia Elétrica
TAEE3,"11,24","9,95","10,03",174,"8,52","17,46","6689300000,0","49,55","63,11","49,81","3,03","1,41","9,31","13,33","13,15","7,85","6,47","1,13","12,83","14,15","26,0","65,0","71,0","59,0","49,5","74,0","2,0","66,0","66,0","7,0","2,0","83,0","84,0","79,0","662,35",Energia Elétrica
TAEE11,"33,78","9,97","10,01",174,"8,52","17,46","6689300000,0","49,63","63,11","49,81","3,03","1,41","9,31","13,34","13,16","7,86","19,42","3,39","38,49","13,94","27,0","65,0","71,0","61,0","49,5","75,0","2,0","66,0","66,0","7,0","2,0","84,0","85,0","80,0","668,36",Energia Elétrica
TAEE4,"11,31","10,01","9,97",175,"8,52","17,46","6689300000,0","49,86","63,11","49,81","3,03","1,41","9,31","13,37","13,2","7,9","6,47","1,13","12,83","13,44","28,0","65,0","71,0","62,0","51,5","76,0","2,0","66,0","66,0","7,0","2,0","85,0","86,0","81,0","675,4",Energia Elétrica
CURY3,"15,1","11,16","5,22",457,"29,54","40,92","964959000,0","17,42","21,98","16,22","2,77","0,52","31,56","7,32","7,15","7,93","3,31","1,35","10,03","-33,58","72,0","12,0","9,0","82,0","84,0","80,0","33,0","5,0","39,0","12,0","50,0","72,0","75,0","82,0","632,93",Incorporações
ENMT4,"64,99","14,6","5,96",437,"15,83","29,93","3256180000,0","20,37","25,25","13,95","1,14","1,68","14,25","10,6","9,24","8,07","14,87","4,45","38,59","-40,62","66,0","25,5","44,5","85,0","83,0","86,0","44,5","46,5","73,5","58,5","34,5","81,5","83,0","83,0","820,07",Energia Elétrica
EQPA6,"10,05","12,33","8,96",582,"23,95","47,23","3812660000,0","24,02","28,19","19,48","1,55","1,34","16,73","9,96","8,58","8,52","1,73","0,82","5,65","-43,78","34,0","4,5","21,5","86,0","85,0","83,0","24,5","40,5","61,5","38,5","23,5","78,0","81,0","84,0","670,02",Energia Elétrica
SMTO3,"38,68","13,5","4,25",225,"8,97","16,69","6078940000,0","21,83","22,98","16,17","2,37","1,49","18,38","14,14","5,87","9,5","16,7","2,87","32,84","-15,1","83,0","68,0","69,0","76,0","64,0","84,0","34,0","34,0","69,0","16,0","44,0","86,0","68,0","85,0","804,5",Açucar e Alcool
VULC3,"18,86","8,67","4,0",245,"20,65","28,24","1893840000,0","17,19","17,23","19,83","3,71","0,2","24,81","10,2","8,52","9,98","7,7","2,17","19,39","2,81","86,0","33,0","25,0","67,0","67,0","65,0","22,0","20,0","18,0","3,0","58,0","79,0","80,0","86,0","632,98",Calçados
